Country,Days,Days missed
England,In classroom,80
England,Not in classroom,110
Northern Ireland,In classroom,71
Northern Ireland,Not in classroom,119
Scotland,In classroom,71
Scotland,Not in classroom,119
Wales,In classroom,66
Wales,Not in classroom,124
